Composite_rule	popularity	route_ids_size	Reference	Target_molecules
[C;D2:1]-[N;D1:2]>>[C;D2:1]-[N;D2:2]=[N;D2+:4]=[N;D1-:3]$[C;D2:1]-[C;D2:2]-[N;D2:3]=[N;D2+:4]>>[C;D2:1]-[C;D2:2]-[O;D2:9]-[S;D4:6](-[C:5])(=[O:7])=[O:8].[N;D1-:3]=[N;D2+:4]$[C;D2:1]-[O;D2:2]-[S;D4:3](-[C;D1:4])(=[O;D1:5])=[O;D1:6]>>[S;D4:3](-[C;D1:4])(=[O;D1:5])(=[O;D1:6])-[Cl;D1:7].[C;D2:1]-[O;D1:2]$[C;D2:1]-[O;D1:2]>>[C;D2:1]-[O;D2:2]-[C;D3:6]-1-[C;D2:5]-[C:4]-[C:3]-[C:8]-[O;D2:7]-1	4	4	201,419,5354,8974	CCOC(=O)C(C)(CCCc1ccccc1)Cc1ccc(OCCN)cc1,CCOC(=O)C(Cc1ccc(OCCN)cc1)Oc1ccccc1,CCOC(=O)CSC(CCCCN)CCCc1cccnc1,CCOC(=O)C(C)(Cc1ccc(OCCN)cc1)Oc1ccc(C(C)C)cc1
[C;D2:1]-[N;D3:2](-[C;D3:3](=[O;D1:4])-[C;D3:5])-[C;D3:6]>>[C;D3:3](=[O;D1:4])(-[C;D3:5])-[O;D1:7].[C;D2:1]-[N;D2:2]-[C;D3:6]$[C;D3:1]-[C;D2:2]-[N;D2:3]-[C;D3:4]>>[C;D3:1]-[C;D2:2]=[O;D1:5].[N;D1:3]-[C;D3:4]$[C;D3:1]-[C;D2:2]=[O;D1:3]>>[C;D3:1]-[C;D2:2]-[O;D1:3]$[C;D3:1]-[C;D2:2]-[O;D1:3]>>[C;D3:1]-[C;D3:2](-[O;D1:3])=[O;D1:4]	3	3	48,4728,8835	CCOC(=O)[C@@H]1CN(C(=O)OC(C)(C)C)C[C@H]1CN(C(=O)c1ccc(OC)c(OCCCOC)c1)C(C)C
[C;D2:1]-[N;D3:2](-[C;D3:3]:1:[C;D3:4]:[C:5]:[N:6]:[C:7]:[C;D3:8]:1)-[C;D2:9]>>[C;D3:3]:1(:[C;D3:4]:[C:5]:[N:6]:[C:7]:[C;D3:8]:1)-[Cl;D1:10].[C;D2:1]-[N;D2:2]-[C;D2:9]$[C;D3:1]:1:[C:2]:[N:3]:[C:4]:[C;D3:5]:[C;D3:6]:1-[Cl;D1:7]>>[Cl;D1:7]-[P;D4:9](=[O;D1:8])(-[Cl;D1:10])-[Cl;D1:11].[C;D3:1]:1:[C:2]:[N:3]:[C:4]:[C;D3:5]:[C;D3:6]:1-[O;D1:12]$[C;D3:1]-[O;D1:2]>>[C;D3:1]-[O;D2:2]-[C;D1:3]$[C;D3:1]:[C;D3:4](:[C;D2:3]:[N:2])-[N;D3+:5](=[O;D1:6])-[O;D1-:7]>>[N;D3+:5](-[O;D1:6])(-[O;D1-:7])=[O;D1:8].[C;D3:1]:[C;D2:4]:[C;D2:3]:[N:2]	3	3	163,560,5563	CC1(NC(=O)OC(C)(C)C)CCCN(c2c([N+](=O)[O-])cnc3c2CCC3)C1,CC(C)(C)OC(=O)N[C@H]1CCCN(c2c([N+](=O)[O-])cnc3c2CCC3)C1,CC(C)(C)OC(=O)N[C@@H]1CN(c2c([N+](=O)[O-])cnc3c2CCC3)C[C@H](C2CC2)[C@H]1O
[C;D2:1]-[O;D2:2]-[S;D4:3](-[C;D1:4])(=[O;D1:5])=[O;D1:6]>>[S;D4:3](-[C;D1:4])(=[O;D1:5])(=[O;D1:6])-[Cl;D1:7].[C;D2:1]-[O;D1:2]$[C;D3:1]-[N;D3:2]-1-[C;D2:3]-[C;D3:4](-[C;D2:5]-[O;D1:6])-[O;D2:7]-[C;D3:8]-1=[O;D1:9]>>[C;D2:3]-1-[C;D3:4](-[C;D2:5]-[O;D2:6]-[C;D3:13](-[C;D2:12]-[C:11]-[C:10])=[O;D1:14])-[O;D2:7]-1.[C;D3:1]-[N;D2:2]-[C;D3:8](=[O;D1:9])-[O;D2:20]-[C;D2:19]-[C:18]:1:[C:17]:[C:16]:[C:15]:[C:22]:[C:21]:1$[C;D3:1]-[N;D2:2]-[C;D3:3](=[O;D1:4])-[O;D2:5]>>[C;D3:3](=[O;D1:4])(-[O;D2:5])-[Cl;D1:6].[C;D3:1]-[N;D1:2]$[C;D3:1]-[N;D1:2]>>[C;D3:1]-[N;D3+:2](=[O;D1:3])-[O;D1-:4]	3	3	1172,2494,9630	CCN1CCN(c2ccc(N3C[C@H](COS(C)(=O)=O)OC3=O)cc2F)CC1=O,CN1CCN(c2ccc(N3C[C@H](COS(C)(=O)=O)OC3=O)cc2F)CC1=O,COCCN1CCN(c2ccc(N3C[C@H](COS(C)(=O)=O)OC3=O)cc2F)CC1=O
[C;D3:1]-[C;D2:2]-[N;D2:3]=[N;D2+:4]>>[C;D3:1]-[C;D2:2]-[O;D2:9]-[S;D4:6](-[C:5])(=[O:7])=[O:8].[N;D1-:3]=[N;D2+:4]$[C;D2:1]-[O;D2:2]-[S;D4:3](-[C;D1:4])(=[O;D1:5])=[O;D1:6]>>[S;D4:3](-[C;D1:4])(=[O;D1:5])(=[O;D1:6])-[Cl;D1:7].[C;D2:1]-[O;D1:2]$[C;D3:1]-[N;D3:2]-1-[C;D2:3]-[C;D3:4](-[C;D2:5]-[O;D1:6])-[O;D2:7]-[C;D3:8]-1=[O;D1:9]>>[C;D2:3]-1-[C;D3:4](-[C;D2:5]-[O;D2:6]-[C;D3:13](-[C;D2:12]-[C:11]-[C:10])=[O;D1:14])-[O;D2:7]-1.[C;D3:1]-[N;D2:2]-[C;D3:8](=[O;D1:9])-[O;D2:20]-[C;D2:19]-[C:18]:1:[C:17]:[C:16]:[C:15]:[C:22]:[C:21]:1$[C;D3:1]-[N;D2:2]-[C;D3:3](=[O;D1:4])-[O;D2:5]>>[C;D3:3](=[O;D1:4])(-[O;D2:5])-[Cl;D1:6].[C;D3:1]-[N;D1:2]	3	3	1172,2494,9630	CCN1CCN(c2ccc(N3C[C@H](CN=[N+]=[N-])OC3=O)cc2F)CC1=O,CN1CCN(c2ccc(N3C[C@H](CN=[N+]=[N-])OC3=O)cc2F)CC1=O,COCCN1CCN(c2ccc(N3C[C@H](CN=[N+]=[N-])OC3=O)cc2F)CC1=O
[C;D3:1]:1:[C:2]:[N:3]:[C:4]:[C;D3:5]:[C;D3:6]:1-[Cl;D1:7]>>[Cl;D1:7]-[P;D4:9](=[O;D1:8])(-[Cl;D1:10])-[Cl;D1:11].[C;D3:1]:1:[C:2]:[N:3]:[C:4]:[C;D3:5]:[C;D3:6]:1-[O;D1:12]$[C;D3:1]-[O;D1:2]>>[C;D3:1]-[O;D2:2]-[C;D1:3]$[C;D3:1]:[C;D3:4](:[C;D2:3]:[N:2])-[N;D3+:5](=[O;D1:6])-[O;D1-:7]>>[N;D3+:5](-[O;D1:6])(-[O;D1-:7])=[O;D1:8].[C;D3:1]:[C;D2:4]:[C;D2:3]:[N:2]$[C;D1:1]-[O;D2:2]-[C;D3:3]:1:[C;D3:4]:[C:5]:[N:6]:[C:7]:[C;D2:8]:1>>[C;D3:3]:1(:[C;D3:4]:[C:5]:[N:6]:[C:7]:[C;D2:8]:1)-[Cl;D1:9].[C;D1:1]-[O;D1:2]	3	3	163,560,5563	O=[N+]([O-])c1cnc2c(c1Cl)CCC2
[N:1]:[C;D3:2](-[C;D3:3](-[C;D1:4])=[O;D1:5]):[C:6]>>[N:1]:[C;D3:2](-[C;D3:3](=[O;D1:5])-[N;D3:9](-[O;D2:8]-[C:7])-[C;D1:10]):[C:6].[C;D1:4]-[Mg;D1+:11]$[N:1]:[C;D3:2](-[C;D3:3](=[O;D1:4])-[N;D3:5](-[C;D1:6])-[O;D2:7]):[C:8]>>[N:1]:[C;D3:2](-[C;D3:3](=[O;D1:4])-[O;D2:10]-[C;D1:9]):[C:8].[N;D2:5](-[C;D1:6])-[O;D2:7]$[O:1]-[C;D3:2](=[O:3])-[C;D3:4]:1:[N;D2:5]:[N;D3:6](-[C;D3:7]):[C;D2:8]:[C;D3:9](-[O;D2:10]):[C;D3:11]:1=[O;D1:12]>>[C;D3:8](-[O;D2:14]-[C;D1:13])(-[O;D2:15]-[C;D1:16])-[N;D3:17](-[C;D1:18])-[C;D1:19].[O:1]-[C;D3:2](=[O:3])-[C;D3:4](=[N;D2:5]-[N;D2:6]-[C;D3:7])-[C;D3:11](-[C;D2:9]-[O;D2:10])=[O;D1:12]$[C:1]-[C;D3:2](=[O:3])-[C;D3:4](=[N;D2:5]-[N;D2:6]-[C;D3:7])-[C;D3:8](=[O:9])-[O:10]>>[N;D2:5](=[O;D1:11])-[O;D1:12].[C:1]-[C;D3:2](=[O:3])-[C;D2:4]-[C;D3:8](=[O:9])-[O:10].[N;D1:6]-[C;D3:7]	3	3	10,826,971	COc1cn(-c2cccc(C(F)(F)F)c2)nc(C(C)=O)c1=O,COc1cn(-c2ccc(I)cc2F)nc(C(C)=O)c1=O,COc1cn(-c2ccccc2OC(F)F)nc(C(C)=O)c1=O
[C:1](:[N:2]):[C;D3:4]:1:[C:3]:[N:15]:[N;D2:14]:[C;D3:5]:1-[O;D2:6]-[S;D4:7](=[O;D1:8])(=[O;D1:9])-[C;D4:10](-[F:11])(-[F:12])-[F:13]>>[S;D4:7](=[O;D1:8])(=[O;D1:9])(-[C;D4:10](-[F:11])(-[F:12])-[F:13])-[O;D2:19]-[S;D4:17](=[O:16])(=[O:18])-[C:20](-[F:21])(-[F:22])-[F:23].[C:1](:[N:2]):[C;D3:4]:1:[C:3]:[N:15]:[N;D2:14]:[C;D3:5]:1=[O;D1:6]$[C;D3:1]:1:[N:2]:[C:3]:[C;D2:4]:[C;D3:5]:2:[C;D3:6]:1:[C;D3:7](=[O;D1:8]):[N;D2:9]:[N;D3:10]:2-[C;D3:11]>>[C;D3:1]:1:[N:2]:[C:3]:[C;D2:4]:[C;D3:5](:[C;D3:6]:1-[C;D3:7](=[O;D1:8])-[N;D2:9]-[N;D2:10]-[C;D3:11])-[I;D1:12]$[C:1](:[C;D3:2]-[C;D3:3](=[O;D1:4])-[N;D2:5]-[N;D2:6]):[N:7]>>[C:1](:[C;D3:2]-[C;D3:3](=[O;D1:4])-[O;D1:8]):[N:7].[N;D1:5]-[N;D2:6]$[C:1]-[C;D3:2](=[O:3])-[O;D1:4]>>[C:1]-[C;D3:2](=[O:3])-[O;D2:4]-[C;D1:5]	2	2	107,3451	COc1nccc2c1c(OS(=O)(=O)C(F)(F)F)nn2C1CCCC1,COc1nccc2c1c(OS(=O)(=O)C(F)(F)F)nn2C1CCOCC1
[C:1]-[C;D3:2](=[O:3])-[O;D1:4]>>[C:1]-[C;D3:2](=[O:3])-[O;D2:4]-[C;D2:6]-[C;D1:5]$[O:1]-[C:2](=[O:3])-[C;D3:4](=[N:5])-[C;D3:6]:1:[C;D2:7]:[S;D2:8]:[C;D3:9](-[N;D1:10]):[N;D2:11]:1>>[O:1]-[C:2](=[O:3])-[C;D3:4](=[N:5])-[C;D3:6](-[C;D2:7]-[Cl;D1:13])=[O;D1:12].[S;D1:8]=[C;D3:9](-[N;D1:10])-[N;D1:11]$[C:1]-[C;D3:2](=[O:3])-[C;D2:4]-[Cl;D1:5]>>[Cl;D1:5]-[S;D4:7](=[O;D1:6])(=[O;D1:8])-[Cl;D1:9].[C:1]-[C;D3:2](=[O:3])-[C;D1:4]$[C:1]=[N;D2:2]-[O;D2:3]-[C;D2:4]-[C;D3:5]>>[C;D2:4](-[C;D3:5])-[Br;D1:6].[C:1]=[N;D2:2]-[O;D1:3]	2	2	5,1110	CC(C)CON=C(C(=O)O)c1csc(N)n1
[C:1]-[C;D3:2](=[O:3])-[O;D1:4]>>[C:1]-[C;D3:2](=[O:3])-[O;D2:4]-[C;D2:6]-[C;D1:5]$[O:1]-[C;D3:2](=[O:3])-[C;D2:4]-[C;D3:5]-1-[C;D2:6]-[N;D2:7]=[C;D3:8](-[C;D3:9](:[C:10]):[N:11])-[S;D2:12]-1>>[O:1]-[C;D3:2](=[O:3])-[C;D2:4]#[C;D2:5]-[C;D1:6].[N;D1:7]-[C;D3:8](-[C;D3:9](:[C:10]):[N:11])=[S;D1:12]$[N:1]:[C;D3:2](-[C;D3:3](-[N;D1:4])=[S;D1:5]):[C:6]>>[S;D1:5]=[P;D4:16]-1(-[S;D2:15]-[P:13](-[C:12]:2:[C:11]:[C:10]:[C:9](-[O:8]-[C:7]):[C:27]:[C:26]:2)(=[S:14])-[S;D2:25]-1)-[C;D3:17]:3:[C:18]:[C:19]:[C:20](-[O:21]-[C:22]):[C:23]:[C:24]:3.[N:1]:[C;D3:2](-[C;D3:3](-[N;D1:4])=[O;D1:28]):[C:6]$[N:1]:[C;D3:2](-[C;D3:3](-[N;D1:4])=[O;D1:5]):[C:6]>>[N:1]:[C;D3:2](-[C;D3:3](-[O;D1:5])=[O;D1:7]):[C:6].[N;D0:4]	2	2	148,2742	CN(c1cccc2cc(C3=NCC(CC(=O)O)S3)[nH]c12)S(=O)(=O)c1cccs1
